,B.S COMPUTER ENGINEERING CURRICULUM ,,,,,
,,FRESHMAN YEAR,,,,
,1ST SEMESTER,,,,2ND SEMESTER,
OREN 0100,Orientation I,1,,OREN 0101,Orientation II,1
ENGL 0101,English Composition*,3,,ENGL 0102,English Composition*,3
MATH 0207,Calculus I,4,,MATH 0208,Calculus II,4
EENG 0192,Freshman Engr. Des.,3,,EENG 0210,Python Programming,3
CHEM 0231,General Chemistry,4,,PHYS 0310,General Physics I,3
CHEM 0233,General Chemistry Lab,1,,PHYS 0313,General Physics I Lab,1
,Physical Education,1,,,Physical Education,1
,,,,,,
,Semester credits,17,,,Semester credits,16
,,,,,,
,,SOPHOMORE YEAR,,,,
,1ST SEMESTER,,,,2ND SEMESTER,
EENG 0221,Linear Net. & Circ. I,3,,EENG 0322,Linear Net. & Circ. II,3
EENG 0221L,Circuits I Lab,1,,EENG 0322L,Circuits II Lab,1
MATH 0209,Calculus III,4,,ENGL 0203***,Technical Writing*,3
HIST 0103,SBS elective ** ,3,,HIST 0104,SBS elective**,3
PHYS 0311,General Physics II,3,,CSCI 0229,C++ Programming,3
PHYS 0314,General Physics II Lab,1,,EENG 0260,Intro. to Logic Circ.,3
,HFA* elective (music/arts),2,,EENG 0260L,Intro. to Logic Circ. Lab,1
,,,,,,
,Semester credits,17,,,Semester credits,17
,,,,,,
,JUNIOR YEAR,,,,,
,1ST SEMESTER,,,,2ND SEMESTER,
CSCI 0300,Discrete Math Structures I ,3,,COEG 0305,Fund Cyber Security Engineering ,3
MENG 0237,Engr. Prob. & Stat.,3,,COEG 0311 ,Data Structures and Algorithms ,3
EENG 0225,Diff. Eq. & Linear Alg.,4,,EENG 0323,Signals & Systems,3
EENG 0325,Electronics I,3,,EENG 0390,Engineering Ethics*,3
EENG 0325L,Electronics I Lab,1,,,Science Elective ,3
EENG 0360,Microprocessors,3,,,,
,,,,,,
,Semester credits,17,,,Semester credits,15
,,,,,,
,SENIOR YEAR,,,,,
,1ST SEMESTER,,,,2ND SEMESTER,
COEG 0410,Computer Hardware Design,3,,COEG 0411 ,Hardware Security ,3
COEG  0405,Internet of Things ,3,,EENG 0441 ,EIT  Review ,0
COEG 0470,Senior Design I ,2,,COEG  0471,Senior Design 2,2
EENG 0425,Computer Network Design ,3,,MENG 0429,Engineering Economics,2
,Technical Elective I ( Conc.),3,,,Technical Elective II ( Conc.),3
,SBS elective**,3,,,SBS elective**,3
,,,,,,
,,,,,,
,Semester credits,17,,,Semester credits,13
,,,,,,
* HFA - Humanities & Fine Arts,,,,,,
** SBS - Social & Behaviorial Sciences,,,,TOTAL CREDIT HOURS,,129
*** Can be supplanted with ENGL 0204,,,,Tech Electives ,,
"Updated: October 17, 2019",,,,COEG  0435,Machine Learning,
,,,,COEG  0445,Atificial Itelligience,
,,,,COEG 0456,Cyber Security Engineering Practice,
,,,,CSCI 0430,Software Engineering ,
,,,, CSCI  0436,Mobile Security,ver. 2018
