ECE Department. Course Offering Schedule by Semester,,,
Electrical Engineering (EENG),,,
Course Code,Course Title,Fall,Spring
EENG 0192,Freshmen Engineering Design,?,?
EENG 0210,Python Programming,?,?
EENG 0221,Linear Networks and Circuits I,?,?
EENG 221L,Circuit Lab I,?,?
EENG 0225,Differential Equations and Linear Algebra,?,?
EENG 0260,Introduction to Logic Circuits,?,?
EENG 260L,Introduction to Logic Circuits,?,?
EENG 0315,Electromagnetic Theory and Applications,?,?
EENG 0322,Linear Networks and Circuits II,?,?
EENG 322L,Circuit II Lab,?,?
EENG 0323: ,Signals and Systems,?,?
EENG 0325,Electronics I,?,?
EENG 325L: ,Electronics I Laboratory,?,?
EENG 0330: ,Electronics II,?,?
EENG 330L: ,Electronics II Lab,?,?
EENG 0360: ,Microprocessors,?,?
EENG 0390 ,Engineering Ethics,?,?
EENG 0400 ,Microelectronics,?,?
EENG 0401 ,Communication Theory,?,?
EENG 0402 ,Fundamentals of Energy and Power Systems,?,?
EENG 424L ,Senior Electrical Lab,?,?
EENG 0425,Computer Network Design,?,?
EENG 0431 ,Linear Control Systems,?,?
EENG 431L,Linear Control Systems Lab,?,?
EENG 0470 ,Senior Design I,?,?
EENG 0471,Senior Design II,?,?
,,,
Computer Engineering (COEG),,,
Course Code,Course Title,Fall,Spring
COEG 0300,Discrete Math for Engineers,?,?
COEG 0305,Fundamentals of Cybersecurity Engineering,?,?
COEG 0311,Data Structures and Algorithms,?,?
COEG 405,Internet of Things,?,?
COEG 410,Computer Hardware Design,?,?
COEG 411,Hardware Security ,?,?
COEG 0435,Machine Learning for Engineers,?,?
COEG 0445,Artificial Intelligence for Engineers,?,?
COEG 456,Cyber Security for Engineers,?,?
COEG 0470,Senior Design I,?,?
COEG 0471,Senior Design II,?,?
,,version 24/25,
