Department of Electrical and Computer Engineering (ECE),,,,,,,,,St. Name:,,,Student ID:,,,,,,,,
"College of Engineering (COE), Tuskegee University (TU)",,,,,,,,,Start Date:,,,ACT Scores:,,T:,M:,E:,,,,
Provisional Sheet for B.S. in Electrical Engineering (BSEE) Program,,,,,,,,,Advisor:,,,SAT Scores:,,T:,M:,V:,,,,
,,,,,,,,,,,,,,,,,,,,
Natural Sciences and Mathematics Courses **,,,,,,,,,Electrical Engineering Major Courses **,,,,,,,,,,,
Course No,Course Title,Credit,Ernd.Cr,Grade,Substitute,Univ.,Trns.Cr,,Course No,Course Title,Credit,Ernd.Cr,Grade,Substitute,Univ.,Trns.Cr,,,,
MATH 0207,Calculus I ^,4,0,,,,0,,EENG 0210,Python Programing,3,0,,,,0,,,,
MATH 0208,Calculus II,4,0,,,,0,,EENG 0221,Linear Net. & Circuits I,3,0,,,,0,,,,
MATH 0209,Calculus III,4,0,,,,0,,EENG 221L,Linear Net. & Circ. I Lab,1,0,,,,0,,,,
EENG 0225,Diff. Eq. & Linear Alg.,4,0,,,,0,,EENG 0260,Intro. Logic Circuits,3,0,,,,0,,,,
Math 0461,Engineeering Math,3,0,,,,0,,EENG 260L,Intro. Logic Circuits Lab.,1,0,,,,0,,,,
CHEM 0231,General Chemistry,4,0,,,,0,,COEG 0305,Fund. Cyber Security Engin,3,0,,,,0,,,,
CHEM 0233,General Chemistry Lab.,1,0,,,,0,,EENG 0315,Eectromag. Theory & Appl,3,0,,,,0,,,,
PHYS 0310,General Physics I,3,0,,,,0,,EENG 0322,Linear Net. & Circuits II,3,0,,,,0,,,,
PHYS 0311,General  Physics II,3,0,,,,0,,EENG 322L,Linear Net. & Circ. II Lab,1,0,,,,0,,,,
PHYS 0313,General  Physics I Lab.,1,0,,,,0,,EENG 0323,Signals & Systems,3,0,,,,0,,,,
PHYS 0314,General  Physics II Lab.,1,0,,,,0,,EENG 0325,Electronic I,3,0,,,,0,,,,
,Science Elective ,3,0,,,,0,,EENG 325L,Electronics I Lab.,1,0,,,,0,,,,
,Total ,35,0,,,,0,,EENG 0330,Electronics II,3,0,,,,0,,,,
,,,,,,,,,EENG 330L,Electronics II Lab.,1,0,,,,0,,,,
Basic Engineering Courses **,,,,,,,,,EENG 0360,Microprocessors,3,0,,,,0,,,,
Course No,Course Title,Credit,Ernd.Cr,Grade,Substitute,Univ.,Trns.Cr,,EENG 0400,Microelectronics,3,0,,,,0,,,,
CSCI 0229,C++ Programming,3,0,,,,0,,EENG 0400L,Senior Elect. Lab,1,0,,,,0,,,,
EENG 0192,Freshman Engg. Design,3,0,,,,0,,EENG 0401,Communication Theory,3,0,,,,0,,,,
EENG 0390,Engg. Ethics & Society,3,0,,,,0,,EENG 0402,Fund. 0f Energy&Power Syst,3,0,,,,0,,,,
EENG 0441,EIT Review ^^,0,0,,,,0,,EENG 0431,Control Systems,3,0,,,,0,,,,
MENG 0237,Engg. Prob. & Statistics,3,0,,,,0,,EENG 431L,Control Systems  Lab,1,0,,,,0,,,,
MENG 0429,Engineering Economics,2,0,,,,0,,EENG 0470,Senior Design I,2,0,,,,0,,,,
,Total,14,0,,,,0,,EENG 0471,Senior Design 1I,2,0,,,,0,,,,
,,,,,,,,,,Total,53,0,,,,0,,,,
Other General Education Courses,,,,,,,,,,,,,,,,,,,,
Course No,Course Title,Credit,Ernd.Cr,Grade,Substitute,Univ.,Trns.Cr,,Ernd.Cr:,Earned credit at Tuskegee University,,,,,,,,,,
Orientation and English **,,,,,,,,,Trns.Cr:,Transferred credit from other institution,,,,,,,,,,
OREN 0100,Indiv. Dev & Growth,1,0,,,,0,,**,Grade 'C' or better is required,,,,,,,,,,
OREN 0101,Indiv. Dev & Growth,1,0,,,,0,,*,"Grade 'D' is accepted only in one SBS course, 'C' or better is required in others",,,,,,,,,,
ENGL 0101,English Composition I ^,3,0,,,,0,,^^,No credit toward degree,,,,,,,,,,
ENGL 0102,English Composition II,3,0,,,,0,,^,Course placement depends on ACT/SAT scores or prerequisites,,,,,,,,,,
ENGL 0203,Technical Writing,3,0,,,,0,,,,,,,,,,,,,
EPE,English Proficiency ^^,0,0,,,,0,,Total Credit Hours Required,,129,,Defficiencies (Per Registrar's Records):,,,,,,,
Social/Behavioral Sciences (SBS) *,,,,,,,,,Total Earned Credit at TU,,0,,,,,,,,,
HIST 0103,SBS Elective I (History),3,0,,,,0,,Total Transfer Credit Approved,,0,,,,,,,,,
,SBS Elective II,3,0,,,,0,,Total Credit Remaining,,129,,,,,,,,,
POLS 0200,SBS Elective III,3,0,,,,0,,,,,,,,,,,,,
,SBS Elective IV,3,0,,,,0,,Student,,,,,Date,,,,,,
Humanities/Fine Arts (HFA) **,,,,,,,,,,,,,,,,,,,,
,HFA Elect. (Music/Arts),2,0,,,,0,,"Head, Dept. of Electrical & Computer Engineering",,,,,Date,,,,,,
Physical Education (PE) ** ,,,,,,,,,,,,,,,,,,,,
,PE Elective I,1,0,,,,0,,"Dean, College of Engineering",,,,,Date,,,,,,
,PE Elective II,1,0,,,,0,,,,,,,,,,,,,
,Total,27,0,,,,0,,,,,,,,                                         Effective: Fall 2020     Version: 001:2020,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
